Date,Open,High,Low,Close,Volume,Adj Close
2016-07-22,19.02,19.02,18.68,18.70,13580900,18.70
2016-07-21,18.75,19.16,18.70,19.04,20431500,19.04
2016-07-20,18.73,18.84,18.69,18.73,7636700,18.73
2016-07-19,18.62,18.75,18.56,18.75,8247800,18.75
2016-07-18,18.94,19.07,18.65,18.66,12586600,18.66
2016-07-15,19.43,19.47,19.00,19.01,16879300,19.01
2016-07-14,19.20,19.26,18.85,19.04,15514500,19.04
2016-07-13,18.94,19.26,18.77,19.06,22198500,19.06
2016-07-12,18.52,18.99,18.26,18.98,26463900,18.98
2016-07-11,18.60,18.85,18.43,18.49,13015100,18.49
2016-07-08,18.49,18.77,18.33,18.54,12064100,18.54
2016-07-07,18.63,18.68,18.33,18.44,14800200,18.44
2016-07-06,18.78,18.85,18.54,18.68,13076100,18.68
2016-07-05,18.35,18.98,18.32,18.74,27496300,18.74
2016-07-04,17.88,18.29,17.81,18.24,13922000,18.24
2016-07-01,18.07,18.16,17.92,17.95,8229800,17.95
2016-06-30,18.20,18.23,18.05,18.08,8397500,18.08
2016-06-29,18.09,18.26,18.09,18.14,11797800,18.14
2016-06-28,17.72,18.12,17.71,18.07,13234600,18.07
2016-06-27,17.47,18.05,17.40,17.90,11040800,17.90
2016-06-24,18.05,18.09,17.09,17.56,16932400,17.56
2016-06-23,18.10,18.27,17.88,18.05,10114700,18.05
2016-06-22,17.98,18.13,17.83,18.11,8564400,17.99
2016-06-21,18.05,18.47,17.95,18.03,18196900,17.91053
2016-06-20,18.01,18.05,17.58,17.82,9436500,17.70192
2016-06-17,17.94,18.19,17.90,17.96,10759600,17.84099
2016-06-16,18.25,18.29,17.90,17.93,12492600,17.81119
2016-06-15,17.98,18.39,17.87,18.28,12831100,18.15887
2016-06-14,17.99,18.13,17.80,17.97,8891200,17.85093
2016-06-13,18.75,18.75,17.96,17.97,16898200,17.85093
2016-06-10,18.85,18.85,18.85,18.85,000,18.7251
2016-06-09,18.85,18.85,18.85,18.85,000,18.7251
2016-06-08,18.90,19.00,18.76,18.85,10537900,18.7251
2016-06-07,19.07,19.11,18.90,18.90,8261500,18.77476
2016-06-06,19.08,19.36,18.94,19.06,12937000,18.9337
2016-06-03,19.05,19.15,18.91,19.02,13817000,18.89397
2016-06-02,18.95,19.12,18.91,19.03,13197300,18.9039
2016-06-01,18.99,19.35,18.87,19.04,20890500,18.91384
2016-05-31,18.35,18.99,18.33,18.99,22451200,18.86417
2016-05-30,18.47,18.47,18.20,18.28,8652700,18.15887
2016-05-27,18.29,18.63,18.20,18.44,12130600,18.31781
2016-05-26,18.35,18.51,17.98,18.29,11524300,18.16881
2016-05-25,18.59,18.77,18.38,18.41,9644100,18.28801
2016-05-24,18.83,18.83,18.32,18.39,10128500,18.26814
2016-05-23,18.81,19.03,18.72,18.87,12701700,18.74496
2016-05-20,18.31,18.80,18.15,18.73,16313200,18.60589
2016-05-19,18.50,18.79,18.42,18.54,14793800,18.41715
2016-05-18,18.83,19.48,18.38,18.70,22800300,18.57609
2016-05-17,18.90,19.06,18.80,18.91,13811700,18.7847
2016-05-16,18.55,18.79,18.47,18.78,9965000,18.65556
2016-05-13,18.62,18.96,18.55,18.65,13619700,18.52642
2016-05-12,18.88,18.88,18.32,18.60,12877500,18.47675
2016-05-11,19.25,19.29,18.90,18.93,11577300,18.80457
2016-05-10,19.26,19.41,18.98,19.08,14101800,18.95357
2016-05-09,19.70,19.82,19.20,19.24,21414300,19.11251
2016-05-06,20.95,21.00,19.99,20.00,27968600,19.86748
2016-05-05,20.80,20.95,20.65,20.80,15290400,20.66217
2016-05-04,20.72,21.12,20.61,20.78,22419400,20.64231
2016-05-03,20.35,20.78,20.17,20.73,21894900,20.59264
2016-05-02,20.27,20.27,20.27,20.27,000,20.13569
2016-04-29,20.21,20.59,20.06,20.27,14881800,20.13569
2016-04-28,20.60,20.69,20.00,20.28,19126200,20.14562
2016-04-27,20.85,20.88,20.40,20.46,18620700,20.32443
2016-04-26,20.30,21.10,20.21,20.88,22777600,20.74164
2016-04-25,20.80,20.80,20.03,20.42,21165100,20.28469
2016-04-22,20.93,21.19,20.57,20.90,27107800,20.76151
2016-04-21,22.15,22.37,21.27,21.32,48094100,21.17873
2016-04-20,22.42,23.17,21.20,22.60,98196600,22.45025
2016-04-19,21.36,22.88,20.86,22.61,64857800,22.46018
2016-04-18,21.51,21.80,21.20,21.22,36301600,21.07939
2016-04-15,21.16,21.50,20.98,21.30,29886000,21.15886
2016-04-14,21.00,21.09,20.86,21.06,16913700,20.92045
2016-04-13,20.75,21.34,20.75,20.85,30866000,20.71184
2016-04-12,21.05,21.15,20.41,20.66,17702200,20.5231
2016-04-11,20.89,21.30,20.89,21.02,24669300,20.88072
2016-04-08,20.80,21.10,20.60,20.86,21462300,20.72178
2016-04-07,21.40,21.50,20.70,20.76,28338900,20.62244
2016-04-06,21.45,21.66,21.15,21.35,22076200,21.20853
2016-04-05,21.28,21.65,21.07,21.49,25362600,21.3476
2016-04-04,21.23,21.23,21.23,21.23,000,21.08933
2016-04-01,21.61,21.61,21.10,21.23,31254700,21.08933
2016-03-31,22.30,22.45,21.69,21.85,65349700,21.70522
2016-03-30,21.59,22.54,21.23,22.48,63257900,22.33104
2016-03-29,21.23,22.10,21.18,21.48,51770800,21.33767
2016-03-28,20.97,21.90,20.97,21.39,62218700,21.24827
2016-03-25,20.16,20.58,20.12,20.56,21158300,20.42377
2016-03-24,20.60,20.67,20.04,20.08,26809800,19.94695
2016-03-23,20.25,20.85,20.20,20.83,30009800,20.69198
2016-03-22,20.30,20.74,20.17,20.39,25324600,20.25489
2016-03-21,20.40,21.17,20.18,20.58,39755700,20.44363
2016-03-18,19.58,20.28,19.48,20.14,38050400,20.00655
2016-03-17,19.10,19.64,18.99,19.44,21365500,19.31119
2016-03-16,19.78,19.78,18.80,19.10,29000300,18.97344
2016-03-15,19.69,19.87,19.35,19.79,15566900,19.65887
2016-03-14,19.33,19.98,19.32,19.69,18893900,19.55953
2016-03-11,19.08,19.38,18.88,19.05,12617500,18.92377
2016-03-10,19.99,20.13,19.30,19.37,14666100,19.24165
2016-03-09,19.82,20.35,19.62,20.04,16786100,19.90721
2016-03-08,20.16,20.45,19.03,20.41,23332400,20.27476
2016-03-07,20.02,20.74,19.97,20.16,18462800,20.02642
2016-03-04,20.23,20.37,19.28,19.72,31314600,19.58933
2016-03-03,20.00,20.88,20.00,20.21,37678200,20.07608
2016-03-02,18.65,20.22,18.55,19.97,32693700,19.83767
2016-03-01,18.50,18.94,17.91,18.65,19594400,18.52642
2016-02-29,19.65,19.73,17.81,18.25,23608800,18.12907
2016-02-26,19.80,20.02,19.00,19.56,23819200,19.43039
2016-02-25,21.31,21.44,19.43,19.43,41988100,19.30125
2016-02-24,20.66,21.67,20.60,21.59,39152000,21.44694
2016-02-23,20.91,21.04,20.20,20.84,23027900,20.70191
2016-02-22,20.99,21.19,20.71,20.93,27237100,20.79131
2016-02-19,20.60,20.94,20.10,20.69,25931700,20.5529
2016-02-18,20.85,21.20,20.43,20.48,35619900,20.3443
2016-02-17,19.97,21.50,19.65,20.53,50208300,20.39397
2016-02-16,18.34,19.97,18.34,19.97,32465700,19.83767
2016-02-15,17.88,18.39,17.50,18.15,13356900,18.02973
2016-02-12,18.60,18.60,18.60,18.60,000,18.47675
2016-02-11,18.60,18.60,18.60,18.60,000,18.47675
2016-02-10,18.60,18.60,18.60,18.60,000,18.47675
2016-02-09,18.60,18.60,18.60,18.60,000,18.47675
2016-02-08,18.60,18.60,18.60,18.60,000,18.47675
2016-02-05,18.90,18.96,18.56,18.60,16321900,18.47675
2016-02-04,18.56,18.95,18.56,18.77,20703800,18.64563
2016-02-03,18.18,18.52,17.92,18.39,17710500,18.26814
